time,open,high,low,close,Average True Range,Tick value,Tick size,EURUSD FX
2010-01-27,97.71,97.725,97.705,97.715,0.02375,12.5,0.005,1.4024
2010-01-28,97.715,97.725,97.705,97.715,0.02375,12.5,0.005,1.3971
2010-01-29,97.705,97.715,97.7,97.71,0.02375,12.5,0.005,1.3863
2010-02-01,97.71,97.715,97.685,97.695,0.0235,12.5,0.005,1.3931
2010-02-02,97.695,97.705,97.69,97.7,0.023,12.5,0.005,1.3964
2010-02-03,97.7,97.71,97.695,97.7,0.02275,12.5,0.005,1.3893
2010-02-04,97.7,97.72,97.7,97.71,0.02275,12.5,0.005,1.3723
2010-02-05,97.705,97.715,97.675,97.69,0.0235,12.5,0.005,1.3678
2010-02-08,97.69,97.7,97.68,97.68,0.0235,12.5,0.005,1.3649
2010-02-09,97.68,97.73,97.68,97.705,0.025,12.5,0.005,1.3797
2010-02-10,97.71,97.715,97.7,97.71,0.02475,12.5,0.005,1.3737
2010-02-11,97.705,97.74,97.7,97.715,0.025,12.5,0.005,1.3693
2010-02-12,97.72,97.725,97.71,97.72,0.024,12.5,0.005,1.3632
2010-02-15,97.72,97.725,97.71,97.72,0.024,12.5,0.005,1.3598
2010-02-16,97.725,97.725,97.71,97.715,0.02425,12.5,0.005,1.3770
2010-02-17,97.715,97.725,97.71,97.72,0.02425,12.5,0.005,1.3607
2010-02-18,97.72,97.725,97.72,97.725,0.02325,12.5,0.005,1.3527
2010-02-19,97.72,97.725,97.715,97.725,0.0215,12.5,0.005,1.3613
2010-02-22,97.725,97.73,97.72,97.725,0.0205,12.5,0.005,1.3596
2010-02-23,97.725,97.73,97.72,97.725,0.01975,12.5,0.005,1.3507
2010-02-24,97.725,97.76,97.72,97.73,0.02075,12.5,0.005,1.3538
2010-02-25,97.73,97.745,97.73,97.735,0.0205,12.5,0.005,1.3548
2010-02-26,97.73,97.74,97.73,97.735,0.02025,12.5,0.005,1.3631
2010-03-01,97.735,97.745,97.68,97.73,0.022,12.5,0.005,1.3560
2010-03-02,97.735,97.75,97.69,97.725,0.02425,12.5,0.005,1.3615
2010-03-03,97.735,97.745,97.675,97.69,0.027,12.5,0.005,1.3697
2010-03-04,97.71,97.74,97.59,97.665,0.0335,12.5,0.005,1.3581
2010-03-05,97.67,97.7,97.605,97.645,0.03625,12.5,0.005,1.3626
2010-03-08,97.655,97.66,97.625,97.65,0.037,12.5,0.005,1.3634
2010-03-09,97.655,97.715,97.65,97.675,0.03775,12.5,0.005,1.3602
2010-03-10,97.685,97.695,97.645,97.65,0.0395,12.5,0.005,1.3657
2010-03-11,97.65,97.665,97.57,97.615,0.04225,12.5,0.005,1.3681
2010-03-12,97.61,97.615,97.555,97.59,0.0445,12.5,0.005,1.3769
2010-03-15,97.6,97.64,97.585,97.625,0.0465,12.5,0.005,1.3677
2010-03-16,97.63,97.705,97.62,97.65,0.05,12.5,0.005,1.3766
2010-03-17,97.68,97.73,97.665,97.71,0.05325,12.5,0.005,1.3738
2010-03-18,97.72,97.745,97.685,97.7,0.056,12.5,0.005,1.3608
2010-03-19,97.695,97.72,97.665,97.695,0.05825,12.5,0.005,1.3530
2010-03-22,97.68,97.75,97.675,97.735,0.0615,12.5,0.005,1.3558
2010-03-23,97.735,97.77,97.725,97.755,0.06325,12.5,0.005,1.3499
2010-03-24,97.76,97.785,97.73,97.765,0.064,12.5,0.005,1.3315
2010-03-25,97.75,97.785,97.725,97.765,0.06625,12.5,0.005,1.3273
2010-03-26,97.77,97.77,97.71,97.735,0.06875,12.5,0.005,1.3410
2010-03-29,97.745,97.76,97.71,97.75,0.068,12.5,0.005,1.3483
2010-03-30,97.75,97.78,97.74,97.76,0.067,12.5,0.005,1.3414
2010-03-31,97.77,97.82,97.755,97.78,0.06675,12.5,0.005,1.3510
2010-04-01,97.805,97.82,97.77,97.78,0.06175,12.5,0.005,1.3589
2010-04-06,97.74,97.775,97.68,97.73,0.062,12.5,0.005,1.3399
2010-04-07,97.735,97.805,97.725,97.765,0.06425,12.5,0.005,1.3344
2010-04-08,97.795,97.83,97.78,97.81,0.06425,12.5,0.005,1.3361
2010-04-09,97.805,97.81,97.74,97.755,0.06525,12.5,0.005,1.3500
2010-04-12,97.735,97.735,97.685,97.72,0.064,12.5,0.005,1.3592
2010-04-13,97.73,97.76,97.715,97.74,0.06325,12.5,0.005,1.3614
2010-04-14,97.745,97.775,97.73,97.77,0.06275,12.5,0.005,1.3653
2010-04-15,97.765,97.805,97.755,97.79,0.061,12.5,0.005,1.3573
2010-04-16,97.785,97.87,97.785,97.86,0.06125,12.5,0.005,1.3503
2010-04-19,97.875,97.89,97.855,97.875,0.06,12.5,0.005,1.3489
2010-04-20,97.87,97.88,97.84,97.855,0.05925,12.5,0.005,1.3435
