time,open,high,low,close,Average True Range,Tick value,Tick size,JPYUSD FX
2015-04-10,17850,17970,17790,17910,274.5,10000,10,0.00832
2015-04-13,17910,17940,17780,17870,275.5,10000,10,0.008325
2015-04-14,17850,17920,17780,17850,274.5,10000,10,0.008375
2015-04-15,17880,17910,17730,17810,273,10000,10,0.008394
2015-04-16,17810,17860,17700,17820,267.5,10000,10,0.008404
2015-04-17,17810,17810,17590,17630,269,10000,10,0.008408
2015-04-20,17630,17680,17420,17540,270.5,10000,10,0.00839
2015-04-21,17610,17910,17560,17910,282,10000,10,0.008356
2015-04-22,17960,18110,17930,18100,278,10000,10,0.00834
2015-04-23,18130,18220,18030,18110,269,10000,10,0.008362
2015-04-24,18090,18110,17960,17990,247,10000,10,0.008405
2015-04-27,17980,18080,17860,17940,244,10000,10,0.0084
2015-04-28,17970,18100,17930,17980,232,10000,10,0.008413
2015-04-30,17960,17980,17430,17450,237.5,10000,10,0.008377
2015-05-01,17450,17540,17320,17480,228,10000,10,0.00832
2015-05-07,17500,17630,17180,17180,240.5,10000,10,0.008351
2015-05-08,17130,17410,16980,17320,247,10000,10,0.008348
2015-05-11,17340,17630,17300,17580,248.5,10000,10,0.008328
2015-05-12,17590,17610,17410,17610,249,10000,10,0.008343
2015-05-13,17530,17750,17390,17720,257.5,10000,10,0.008393
2015-05-14,17710,17790,17490,17490,263.5,10000,10,0.008391
2015-05-15,17430,17700,17410,17700,270,10000,10,0.008382
2015-05-18,17710,17850,17630,17830,274,10000,10,0.008335
2015-05-19,17840,18040,17790,17970,277.5,10000,10,0.008286
2015-05-20,18010,18230,18000,18170,282.5,10000,10,0.00824
2015-05-21,18180,18270,18100,18120,279.5,10000,10,0.008263
2015-05-22,18120,18230,18070,18220,274.5,10000,10,0.008227
2015-05-25,18220,18370,18200,18370,264.5,10000,10,0.008226
2015-05-26,18370,18420,18320,18410,259.5,10000,10,0.008122
2015-05-27,18460,18490,18260,18420,261.5,10000,10,0.008086
2015-05-28,18470,18610,18410,18510,264,10000,10,0.008067
2015-05-29,18450,18590,18390,18500,263,10000,10,0.008055
2015-06-01,18460,18550,18320,18510,266,10000,10,0.008014
2015-06-02,18520,18570,18410,18480,246.5,10000,10,0.008057
2015-06-03,18470,18480,18330,18430,243,10000,10,0.00805
2015-06-04,18410,18520,18370,18440,228,10000,10,0.008041
2015-06-05,18420,18440,18300,18400,213.5,10000,10,0.007961
2015-06-08,18440,18560,18300,18390,210,10000,10,0.008033
2015-06-09,18360,18380,17990,17990,220,10000,10,0.008042
2015-06-10,17990,18140,17790,17970,219.5,10000,10,0.008151
2015-06-11,17960,18310,17900,18300,225,10000,10,0.008102
2015-06-12,18320,18410,18190,18260,221.5,10000,10,0.008104
2015-06-15,18270,18290,18070,18210,221.5,10000,10,0.008104
2015-06-16,18230,18240,18090,18100,216.5,10000,10,0.008106
2015-06-17,18070,18180,17980,18110,213.5,10000,10,0.008102
2015-06-18,18110,18150,17830,17830,221,10000,10,0.008133
2015-06-19,17840,18070,17740,18040,229.5,10000,10,0.008152
2015-06-22,18030,18320,17970,18320,238.5,10000,10,0.008106
2015-06-23,18350,18700,18330,18700,252.5,10000,10,0.008068
2015-06-24,18710,18820,18670,18690,248.5,10000,10,0.008074
2015-06-25,18720,18730,18560,18630,247,10000,10,0.008089
2015-06-26,18650,18720,18520,18630,247,10000,10,0.008074
2015-06-29,18570,18760,17950,17980,276,10000,10,0.00816
2015-06-30,18070,18190,17980,18100,278.5,10000,10,0.008163
2015-07-01,18100,18270,18040,18270,282.5,10000,10,0.008119
2015-07-02,18290,18490,18270,18410,286,10000,10,0.008126
2015-07-03,18420,18440,18300,18410,286,10000,10,0.008141
2015-07-06,18430,18430,17870,18070,301,10000,10,0.008159
2015-07-07,18100,18310,18050,18290,294,10000,10,0.008161
2015-07-08,18320,18330,17520,17530,317,10000,10,0.008285
2015-07-09,17510,17770,16970,17730,336.5,10000,10,0.008242
2015-07-10,17720,17850,17510,17730,342.5,10000,10,0.008144
2015-07-13,17750,18000,17700,17960,346.5,10000,10,0.008101
2015-07-14,18140,18310,18110,18300,356.5,10000,10,0.008105
2015-07-15,18280,18370,18230,18320,353.5,10000,10,0.008078
2015-07-16,18330,18490,18320,18430,346,10000,10,0.008055
2015-07-17,18460,18570,18460,18510,336.5,10000,10,0.008061
2015-07-21,18520,18720,18500,18710,330,10000,10,0.008071
2015-07-22,18690,18700,18410,18430,326,10000,10,0.008067
2015-07-23,18430,18570,18390,18540,327.5,10000,10,0.008071
2015-07-24,18510,18540,18390,18390,326.5,10000,10,0.008077
2015-07-27,18430,18460,18140,18220,332.5,10000,10,0.008114
2015-07-28,18120,18300,17920,18170,311,10000,10,0.008094
2015-07-29,18160,18260,18050,18170,311,10000,10,0.008068
2015-07-30,18210,18450,18150,18430,314.5,10000,10,0.008055
2015-07-31,18430,18460,18330,18440,310,10000,10,0.008073
2015-08-03,18460,18470,18250,18370,314,10000,10,0.008062
2015-08-04,18370,18430,18290,18320,293,10000,10,0.00804
2015-08-05,18310,18590,18290,18470,295,10000,10,0.008008
2015-08-06,18490,18690,18490,18520,265.5,10000,10,0.008017
2015-08-07,18600,18620,18430,18580,235,10000,10,0.008049
2015-08-10,18550,18680,18450,18660,229.5,10000,10,0.008024
2015-08-11,18650,18810,18430,18540,233.5,10000,10,0.007993
2015-08-12,18560,18580,18150,18210,237.5,10000,10,0.008051
2015-08-13,18180,18530,17910,18500,261.5,10000,10,0.008037
2015-08-14,18510,18520,18330,18380,262.5,10000,10,0.008044
2015-08-17,18400,18540,18350,18500,265,10000,10,0.008039
2015-08-18,18520,18530,18400,18430,260.5,10000,10,0.008038
2015-08-19,18440,18440,18030,18100,266,10000,10,0.008077
2015-08-20,18090,18210,17890,17910,273,10000,10,0.008103
2015-08-21,17930,17940,17290,17300,298,10000,10,0.008193
2015-08-24,17330,17530,16280,16280,344.5,10000,10,0.008444
2015-08-25,16280,16720,15030,15540,410,10000,10,0.008412
2015-08-26,15860,16420,15530,16310,444,10000,10,0.008338
2015-08-27,16140,16670,15990,16440,463,10000,10,0.008262
2015-08-28,16610,17070,16570,17050,488,10000,10,0.008216
2015-08-31,16980,17060,16610,16710,499.5,10000,10,0.008249
2015-09-01,16750,16830,15940,15980,537,10000,10,0.008377
2015-09-02,16030,16350,15640,16120,557.5,10000,10,0.00831
2015-09-03,16070,16360,15880,16100,570.5,10000,10,0.008329
2015-09-04,16120,16290,15460,15630,602.5,10000,10,0.008401
2015-09-07,15600,15890,15340,15740,618.5,10000,10,0.008384
2015-09-08,15730,15850,15250,15330,629.5,10000,10,0.008346
2015-09-09,15330,16370,15320,16320,660.5,10000,10,0.008297
2015-09-10,16320,16340,15560,15870,668.5,10000,10,0.00829
2015-09-11,15940,16010,15690,15890,675,10000,10,0.008293
2015-09-14,15790,15950,15510,15540,687.5,10000,10,0.008317
2015-09-15,15610,15940,15480,15600,704,10000,10,0.008304
2015-09-16,15580,15910,15430,15860,707.5,10000,10,0.008294
2015-09-17,15930,16100,15860,16080,703.5,10000,10,0.008333
2015-09-18,16030,16100,15640,15720,694,10000,10,0.008335
2015-09-24,15680,15750,15170,15170,660.5,10000,10,0.008328
2015-09-25,15200,15490,14780,15490,611.5,10000,10,0.008293
2015-09-28,15530,15740,15270,15410,590.5,10000,10,0.008339
2015-09-29,15440,15490,14610,14660,600.5,10000,10,0.008351
2015-09-30,14820,15190,14750,15110,595.5,10000,10,0.008342
2015-10-01,15130,15580,14980,15410,603,10000,10,0.008338
2015-10-02,15470,15500,15160,15390,575.5,10000,10,0.008339
2015-10-05,15450,15800,14960,15790,582,10000,10,0.008302
2015-10-06,15750,16130,15740,15890,577.5,10000,10,0.008318
2015-10-07,15860,16110,15710,16100,556,10000,10,0.008332
2015-10-08,16070,16190,15820,15820,547,10000,10,0.008338
2015-10-09,15750,16170,15740,16140,538.5,10000,10,0.008316
2015-10-13,16100,16130,15930,15930,496.5,10000,10,0.008351
2015-10-14,15890,15960,15550,15660,478,10000,10,0.008415
2015-10-15,15610,15910,15470,15820,484,10000,10,0.008411
2015-10-16,15710,16130,15690,16010,484,10000,10,0.008371
2015-10-19,16030,16100,15800,15850,476,10000,10,0.008368
2015-10-20,15940,15990,15850,15930,459,10000,10,0.008344
2015-10-21,15980,16340,15890,16260,469.5,10000,10,0.008338
2015-10-22,16180,16320,16100,16170,457.5,10000,10,0.008285
2015-10-23,16200,16650,16170,16520,452.5,10000,10,0.008233
2015-10-26,16530,16860,16470,16660,436.5,10000,10,0.008258
2015-10-27,16640,16760,16480,16560,427,10000,10,0.008302
2015-10-28,16560,16660,16480,16650,392,10000,10,0.008258
2015-10-29,16640,16820,16530,16620,380,10000,10,0.008256
2015-10-30,16640,16940,16440,16810,375,10000,10,0.008291
