time,open,high,low,close,Average True Range,Tick value,Tick size,CADUSD FX
2018-03-06,98.1,98.105,98.085,98.09,0.019,12.5,0.005,0.7766
2018-03-07,98.09,98.12,98.07,98.09,0.0205,12.5,0.005,0.7745
2018-03-08,98.08,98.1,98.06,98.07,0.02175,12.5,0.005,0.7754
2018-03-09,98.07,98.07,98.02,98.03,0.023,12.5,0.005,0.7806
2018-03-12,98.01,98.04,98.01,98.03,0.0225,12.5,0.005,0.7786
2018-03-13,98.02,98.07,98.01,98.08,0.02475,12.5,0.005,0.7713
2018-03-14,98.07,98.11,98.06,98.09,0.027,12.5,0.005,0.7719
2018-03-15,98.1,98.13,98.08,98.12,0.02875,12.5,0.005,0.7661
2018-03-16,98.12,98.13,98.105,98.125,0.029,12.5,0.005,0.7635
2018-03-19,98.12,98.125,98.085,98.105,0.03025,12.5,0.005,0.7647
2018-03-20,98.1,98.105,98.065,98.07,0.03175,12.5,0.005,0.765
2018-03-21,98.065,98.07,97.98,98,0.0355,12.5,0.005,0.775
2018-03-22,98.015,98.045,98,98.025,0.03625,12.5,0.005,0.7729
2018-03-23,98.035,98.045,97.955,97.985,0.039,12.5,0.005,0.7754
2018-03-26,97.985,97.99,97.96,97.97,0.04,12.5,0.005,0.7787
2018-03-27,97.965,98.035,97.96,98.025,0.043,12.5,0.005,0.7759
2018-03-28,98.045,98.06,98.025,98.055,0.04375,12.5,0.005,0.7738
2018-03-29,98.055,98.095,98.055,98.085,0.04475,12.5,0.005,0.7762
2018-04-02,98.085,98.1,98.06,98.1,0.04575,12.5,0.005,0.7744
2018-04-03,98.08,98.09,98.07,98.08,0.0465,12.5,0.005,0.7809
2018-04-04,98.08,98.095,98.06,98.07,0.04725,12.5,0.005,0.7831
2018-04-05,98.06,98.08,98.055,98.075,0.046,12.5,0.005,0.7842
2018-04-06,98.08,98.115,98.065,98.105,0.0465,12.5,0.005,0.7823
2018-04-09,98.1,98.115,98.09,98.095,0.04525,12.5,0.005,0.7876
2018-04-10,98.095,98.1,98.07,98.08,0.04525,12.5,0.005,0.7937
2018-04-11,98.08,98.105,98.025,98.05,0.04625,12.5,0.005,0.795
2018-04-12,98.04,98.055,98,98.01,0.0465,12.5,0.005,0.7944
2018-04-13,98.01,98.02,97.985,98.01,0.04575,12.5,0.005,0.7931
2018-04-16,98.005,98.005,97.98,98,0.046,12.5,0.005,0.7959
2018-04-17,97.99,98,97.98,97.985,0.045,12.5,0.005,0.7967
2018-04-18,97.98,98.015,97.955,97.995,0.046,12.5,0.005,0.7919
2018-04-19,97.98,97.995,97.96,97.975,0.04325,12.5,0.005,0.7892
2018-04-20,97.97,98,97.95,97.995,0.0435,12.5,0.005,0.7834
2018-04-23,97.985,98.015,97.97,98.005,0.04125,12.5,0.005,0.7783
2018-04-24,98.01,98.02,97.995,98.01,0.041,12.5,0.005,0.7792
2018-04-25,98,98.01,97.99,98,0.03825,12.5,0.005,0.7784
2018-04-26,98.005,98.02,98.005,98.005,0.0375,12.5,0.005,0.7768
2018-04-27,98.015,98.025,98.005,98.02,0.0365,12.5,0.005,0.7795
2018-04-30,98.025,98.035,98.015,98.035,0.0355,12.5,0.005,0.7786
2018-05-01,98.03,98.035,97.975,97.99,0.037,12.5,0.005,0.7782
2018-05-02,97.98,97.99,97.955,97.985,0.037,12.5,0.005,0.7762
2018-05-03,97.99,98.01,97.985,98,0.037,12.5,0.005,0.7784
2018-05-04,98.01,98.02,97.995,98,0.03575,12.5,0.005,0.7785
2018-05-07,98,98.005,97.99,98.005,0.03525,12.5,0.005,0.7763
2018-05-08,98.005,98.005,97.98,97.99,0.035,12.5,0.005,0.7721
2018-05-09,97.985,97.985,97.96,97.97,0.0325,12.5,0.005,0.778
2018-05-10,97.97,97.975,97.94,97.95,0.0315,12.5,0.005,0.7833
2018-05-11,97.945,97.97,97.93,97.945,0.03175,12.5,0.005,0.7815
2018-05-14,97.945,97.95,97.93,97.935,0.03125,12.5,0.005,0.7805
2018-05-15,97.925,97.925,97.875,97.895,0.03325,12.5,0.005,0.7766
2018-05-16,97.895,97.905,97.88,97.885,0.0315,12.5,0.005,0.7819
2018-05-17,97.875,97.89,97.875,97.89,0.0305,12.5,0.005,0.7808
2018-05-18,97.89,97.93,97.88,97.925,0.0305,12.5,0.005,0.7761
2018-05-22,97.91,97.925,97.91,97.915,0.029,12.5,0.005,0.7801
2018-05-23,97.935,97.95,97.93,97.945,0.0295,12.5,0.005,0.779
2018-05-24,97.94,97.97,97.94,97.96,0.03,12.5,0.005,0.7763
