time,open,high,low,close,Average True Range,Tick value,Tick size,EURUSD FX
2010-10-05,6070,6177.5,6031,6129.5,103.05,12.5,0.5,1.3839
2010-10-06,6160,6205,6156,6177.5,100.875,12.5,0.5,1.393
2010-10-07,6166.5,6238.5,6148.5,6186,100.275,12.5,0.5,1.3926
2010-10-08,6199,6220,6151,6205,101.6,12.5,0.5,1.3939
2010-10-11,6211,6241,6201,6221,99.825,12.5,0.5,1.3876
2010-10-12,6184,6247.5,6136,6222.5,102.45,12.5,0.5,1.3925
2010-10-13,6235.5,6372.5,6235.5,6350.5,106.975,12.5,0.5,1.3961
2010-10-14,6366,6400.5,6356.5,6374,106.975,12.5,0.5,1.4084
2010-10-15,6392,6429.5,6353,6396.5,103.575,12.5,0.5,1.3977
2010-10-18,6382,6467.5,6373,6432.5,103.025,12.5,0.5,1.3934
2010-10-19,6422.5,6462,6369,6403.5,103.95,12.5,0.5,1.3727
2010-10-20,6405.5,6452.5,6377,6443,102.1,12.5,0.5,1.3964
2010-10-21,6431,6537.5,6420,6519,101.1,12.5,0.5,1.392
2010-10-22,6520,6539,6501.5,6520,94.45,12.5,0.5,1.3954
2010-10-25,6573.5,6590,6541,6555.5,94.975,12.5,0.5,1.3965
2010-10-26,6555.5,6562,6494,6539,92.525,12.5,0.5,1.3859
2010-10-27,6519,6545,6468.5,6486,91.025,12.5,0.5,1.3769
2010-10-28,6517,6563.5,6491,6517.5,87.175,12.5,0.5,1.393
2010-10-29,6489.5,6546,6484,6525.5,84.825,12.5,0.5,1.3947
2010-11-01,6572.5,6586,6471.5,6518.5,84.775,12.5,0.5,1.3893
2010-11-02,6515.5,6590,6509,6570,81.5,12.5,0.5,1.4034
2010-11-03,6580,6599.5,6514.5,6523.5,81.975,12.5,0.5,1.4139
2010-11-04,6576.5,6672.5,6571,6644,84.925,12.5,0.5,1.4207
2010-11-05,6651,6692,6626,6662,84.775,12.5,0.5,1.4032
2010-11-08,6659.5,6682,6641.5,6666.5,84.8,12.5,0.5,1.392
2010-11-09,6659.5,6724.5,6646.5,6702.5,83.125,12.5,0.5,1.3773
2010-11-10,6681.5,6697,6596,6637.5,80.95,12.5,0.5,1.3783
2010-11-11,6662.5,6674.5,6614,6639,81.475,12.5,0.5,1.3667
2010-11-12,6587,6673.5,6531.5,6645.5,84.75,12.5,0.5,1.3691
2010-11-15,6616,6726.5,6591,6696,86.8,12.5,0.5,1.3587
2010-11-16,6667,6682.5,6560.5,6583.5,88.925,12.5,0.5,1.3489
2010-11-17,6581,6620,6566,6612,87.85,12.5,0.5,1.3529
2010-11-18,6666.5,6751,6665.5,6735.5,88.925,12.5,0.5,1.3643
2010-11-19,6751,6779,6704.5,6750,90.775,12.5,0.5,1.3673
2010-11-22,6793.5,6813.5,6703,6735,92.8,12.5,0.5,1.3627
2010-11-23,6708,6739,6617.5,6626.5,95.475,12.5,0.5,1.3367
2010-11-24,6653.5,6760.5,6609.5,6730.5,99.2,12.5,0.5,1.3335
2010-11-25,6739.5,6795.5,6731,6791.5,98.575,12.5,0.5,1.336
2010-11-26,6756,6781,6687.5,6763,100.675,12.5,0.5,1.3242
2010-11-29,6767.5,6816.5,6593,6626.5,106.125,12.5,0.5,1.3125
2010-11-30,6634,6672.5,6566.5,6608,107.375,12.5,0.5,1.2983
2010-12-01,6633,6795.5,6631,6769.5,112.5,12.5,0.5,1.3139
2010-12-02,6782,6873.5,6749,6864,111.275,12.5,0.5,1.3209
2010-12-03,6862,6886,6822.5,6859,111.15,12.5,0.5,1.3414
2010-12-06,6875,6885,6833.5,6857.5,111.7,12.5,0.5,1.3308
2010-12-07,6880.5,6949.5,6868.5,6905,112.4,12.5,0.5,1.3261
2010-12-08,6887.5,6920.5,6863,6881,109.95,12.5,0.5,1.3262
2010-12-09,6916.5,6935,6852.5,6870,111.05,12.5,0.5,1.3239
2010-12-10,6911,6934.5,6880,6908.5,107.175,12.5,0.5,1.3226
2010-12-13,6919,6952,6919,6933,102.575,12.5,0.5,1.3391
2010-12-14,6928.5,6944,6918,6932,97.1,12.5,0.5,1.3378
2010-12-15,6932,6953.5,6886,6944.5,97.775,12.5,0.5,1.3214
2010-12-16,6940,6957,6912.5,6946,93.05,12.5,0.5,1.3244
2010-12-17,6957.5,6965,6900.5,6913,92.55,12.5,0.5,1.3188
2010-12-20,6908.5,6990,6906.5,6940.5,91.2,12.5,0.5,1.3131
2010-12-21,6968.5,7009,6962.5,6992,88.55,12.5,0.5,1.31
2010-12-22,6997.5,7005.5,6987.5,6997.5,81.9,12.5,0.5,1.31
2010-12-23,7003.5,7004,6960.5,6977,80.825,12.5,0.5,1.3114
2010-12-27,6984,6987,6818.5,6900,84.05,12.5,0.5,1.3165
2010-12-28,6909,6913.5,6874.5,6890,74.825,12.5,0.5,1.3115
2010-12-29,6910,6927.5,6900,6908.5,71.4,12.5,0.5,1.3225
2010-12-30,6913.5,6926.5,6813.5,6830.5,67.675,12.5,0.5,1.3291
2011-01-03,6905,6946,6880.5,6901.5,67.225,12.5,0.5,1.3361
2011-01-04,6893,6941.5,6866.5,6886.5,67.8,12.5,0.5,1.3308
2011-01-05,6864,6884.5,6756,6850,71.75,12.5,0.5,1.3149
2011-01-06,6865.5,6962.5,6859.5,6893,72.775,12.5,0.5,1.3003
2011-01-07,6894.5,6926,6837.5,6865,74.325,12.5,0.5,1.2907
2011-01-10,6848.5,6855.5,6746,6783.5,76.15,12.5,0.5,1.2951
2011-01-11,6794,6863,6770.5,6856.5,77.55,12.5,0.5,1.2974
2011-01-12,6856,7000.5,6855.5,6981,82.625,12.5,0.5,1.3131
2011-01-13,6998,7001.5,6949,6979.5,83.95,12.5,0.5,1.3364
2011-01-14,6964.5,7014,6926.5,6993.5,84.95,12.5,0.5,1.3388
2011-01-17,6991,6998.5,6967,6985,84.3,12.5,0.5,1.3294
2011-01-18,6989.5,7068.5,6988.5,7052.5,85.25,12.5,0.5,1.3387
2011-01-19,7084.5,7096.5,6976.5,6993,87.075,12.5,0.5,1.3473
2011-01-20,6983.5,6998.5,6919,6937,87.625,12.5,0.5,1.3473
2011-01-21,6954.5,7035,6936.5,6973.5,91.65,12.5,0.5,1.3621
2011-01-24,7001,7008,6914,6979.5,94.175,12.5,0.5,1.3638
2011-01-25,7005.5,7017,6957,6967,88.75,12.5,0.5,1.3681
2011-01-26,7005.5,7073,6997.5,7034,92.1,12.5,0.5,1.3713
2011-01-27,7053.5,7092.5,7026,7066.5,93.55,12.5,0.5,1.3734
2011-01-28,7065.5,7088,6983.5,7018.5,93.125,12.5,0.5,1.3611
2011-01-31,7003.5,7019.5,6944.5,6999.5,91.1,12.5,0.5,1.3694
2011-02-01,7026.5,7108.5,7016.5,7089,92.8,12.5,0.5,1.3829
2011-02-02,7103,7131.5,7070,7089.5,89.35,12.5,0.5,1.3811
2011-02-03,7080,7126,7056,7094.5,87.225,12.5,0.5,1.3634
2011-02-04,7116,7139.5,7095.5,7120,85.05,12.5,0.5,1.3581
2011-02-07,7139.5,7198.5,7122,7190.5,83.025,12.5,0.5,1.3583
2011-02-08,7191.5,7244.5,7181,7222,81.575,12.5,0.5,1.3625
2011-02-09,7227.5,7261.5,7222,7224.5,76.3,12.5,0.5,1.3733
2011-02-10,7239.5,7263.5,7178.5,7244.5,77.925,12.5,0.5,1.3603
2011-02-11,7223.5,7307,7190.5,7288.5,79.375,12.5,0.5,1.3554
2011-02-14,7312,7332.5,7288,7303,80.025,12.5,0.5,1.3489
2011-02-15,7316.5,7330.5,7285.5,7309.5,78.1,12.5,0.5,1.3487
2011-02-16,7333.5,7347,7309.5,7332,73.975,12.5,0.5,1.3569
2011-02-17,7325.5,7342.5,7271.5,7306.5,73.55,12.5,0.5,1.3609
2011-02-18,7322.5,7334,7287,7324.5,70.975,12.5,0.5,1.3693
2011-02-21,7321.5,7351.5,7219,7230,72.9,12.5,0.5,1.3678
2011-02-22,7214,7260,7155.5,7229,75.125,12.5,0.5,1.365
2011-02-23,7186.5,7219.5,7052.5,7111.5,78.65,12.5,0.5,1.3749
2011-02-24,7082.5,7086,6987,7038.5,81.55,12.5,0.5,1.38
2011-02-25,7045.5,7107,7035,7089,79.925,12.5,0.5,1.3754
2011-02-28,7083,7213,7055,7179,84.075,12.5,0.5,1.3806
2011-03-01,7233.5,7264,7072,7128,88.225,12.5,0.5,1.3777
2011-03-02,7059,7110.5,7029,7095,90.1,12.5,0.5,1.3866
2011-03-03,7123.5,7201,7095.5,7126,91.9,12.5,0.5,1.3969
2011-03-04,7170,7218.5,7033.5,7076.5,98.9,12.5,0.5,1.3987
2011-03-07,7049.5,7177.5,7028,7068.5,102.45,12.5,0.5,1.3968
2011-03-08,7097.5,7130,6975.5,7067.5,107,12.5,0.5,1.3905
2011-03-09,7054,7123.5,7013,7031.5,110.55,12.5,0.5,1.3909
2011-03-10,6991,7015,6926.5,6958.5,111.55,12.5,0.5,1.3798
2011-03-11,6895,6921.5,6870.5,6886,110.125,12.5,0.5,1.3903
2011-03-14,6838.5,6852.5,6751.5,6778.5,114.625,12.5,0.5,1.3992
2011-03-15,6565,6621,6387,6567.5,131.95,12.5,0.5,1.3998
2011-03-16,6567.5,6682.5,6358.5,6475,146.275,12.5,0.5,1.39
2011-03-17,6470.5,6638.5,6460.5,6598.5,151.625,12.5,0.5,1.4021
2011-03-18,6666.5,6707,6566.5,6617,156.3,12.5,0.5,1.4182
2011-03-21,6662.5,6771.5,6655.5,6750.5,157.4,12.5,0.5,1.4226
2011-03-22,6763.5,6770,6708,6730,155.275,12.5,0.5,1.4196
2011-03-23,6710.5,6762.5,6661,6744.5,151.525,12.5,0.5,1.4088
2011-03-24,6744.5,6902.5,6728,6881.5,154.025,12.5,0.5,1.4177
2011-03-25,6918.5,6928.5,6862.5,6904,153.725,12.5,0.5,1.4088
2011-03-28,6885.5,6926,6857.5,6883,149.25,12.5,0.5,1.4087
2011-03-29,6877.5,6902.5,6807.5,6881.5,144.4,12.5,0.5,1.4113
2011-03-30,6939.5,7013.5,6937.5,6994,146.05,12.5,0.5,1.4127
2011-03-31,7021.5,7023,6978.5,7001,142.975,12.5,0.5,1.4158
2011-04-01,7022.5,7136,7013,7121,140.475,12.5,0.5,1.4237
2011-04-04,7118,7142.5,7104.5,7122,134.9,12.5,0.5,1.4221
2011-04-05,7136,7139.5,7070.5,7121,130.625,12.5,0.5,1.4223
2011-04-06,7138,7185,7098,7159,129.45,12.5,0.5,1.4331
2011-04-07,7146.5,7183.5,7115,7123,127.625,12.5,0.5,1.4308
2011-04-08,7163.5,7175.5,7111.5,7145.5,126.425,12.5,0.5,1.4483
2011-04-11,7146.5,7167.5,7096,7149,123.275,12.5,0.5,1.4436
