time,open,high,low,close,Average True Range,Tick value,Tick size,AUDUSD FX
2014-07-22,97.702,97.712,97.682,97.692,0.067,15,0.005,0.9394
2014-07-23,97.682,97.722,97.622,97.642,0.0685,15,0.005,0.9456
2014-07-24,97.632,97.652,97.572,97.612,0.07,15,0.005,0.9419
2014-07-25,97.612,97.622,97.572,97.612,0.068,15,0.005,0.9396
2014-07-28,97.602,97.652,97.582,97.622,0.069,15,0.005,0.9406
2014-07-29,97.622,97.632,97.572,97.592,0.069,15,0.005,0.9383
2014-07-30,97.592,97.652,97.582,97.622,0.0695,15,0.005,0.9331
2014-07-31,97.622,97.632,97.552,97.572,0.0685,15,0.005,0.9295
2014-08-01,97.562,97.582,97.532,97.552,0.067,15,0.005,0.9312
2014-08-04,97.552,97.612,97.522,97.552,0.069,15,0.005,0.9334
2014-08-05,97.552,97.592,97.552,97.572,0.0685,15,0.005,0.9305
2014-08-06,97.562,97.572,97.522,97.542,0.068,15,0.005,0.9354
2014-08-07,97.542,97.652,97.532,97.652,0.0695,15,0.005,0.9271
2014-08-08,97.652,97.772,97.632,97.772,0.073,15,0.005,0.9275
2014-08-11,97.762,97.782,97.652,97.672,0.076,15,0.005,0.9262
2014-08-12,97.672,97.682,97.622,97.652,0.076,15,0.005,0.9269
2014-08-13,97.642,97.672,97.612,97.632,0.0745,15,0.005,0.9305
2014-08-14,97.622,97.692,97.602,97.692,0.077,15,0.005,0.9319
2014-08-15,97.692,97.712,97.652,97.672,0.0745,15,0.005,0.9322
2014-08-18,97.672,97.722,97.652,97.702,0.075,15,0.005,0.9325
2014-08-19,97.692,97.702,97.652,97.672,0.076,15,0.005,0.9302
2014-08-20,97.672,97.702,97.622,97.642,0.075,15,0.005,0.9287
2014-08-21,97.642,97.652,97.552,97.592,0.076,15,0.005,0.9303
2014-08-22,97.582,97.612,97.562,97.572,0.076,15,0.005,0.9317
2014-08-25,97.572,97.592,97.532,97.582,0.0755,15,0.005,0.9297
2014-08-26,97.572,97.642,97.562,97.632,0.0765,15,0.005,0.9306
2014-08-27,97.632,97.652,97.592,97.652,0.076,15,0.005,0.9337
2014-08-28,97.642,97.662,97.612,97.632,0.0745,15,0.005,0.9357
2014-08-29,97.622,97.652,97.602,97.642,0.0745,15,0.005,0.9339
2014-09-01,97.642,97.662,97.622,97.632,0.072,15,0.005,0.9332
2014-09-02,97.632,97.642,97.582,97.602,0.073,15,0.005,0.9274
2014-09-03,97.592,97.602,97.532,97.562,0.074,15,0.005,0.9347
2014-09-04,97.552,97.582,97.522,97.572,0.071,15,0.005,0.9348
2014-09-05,97.562,97.602,97.532,97.542,0.0675,15,0.005,0.9378
2014-09-08,97.542,97.582,97.502,97.552,0.065,15,0.005,0.9281
2014-09-09,97.552,97.552,97.457,97.477,0.06675,15,0.005,0.9203
2014-09-10,97.472,97.487,97.452,97.472,0.0655,15,0.005,0.9155
2014-09-11,97.467,97.487,97.377,97.432,0.0665,15,0.005,0.91
2014-09-12,97.432,97.452,97.392,97.427,0.0665,15,0.005,0.9038
2014-09-15,97.422,97.432,97.382,97.422,0.0655,15,0.005,0.9028
2014-09-16,97.402,97.452,97.402,97.452,0.0655,15,0.005,0.9094
2014-09-17,97.452,97.472,97.402,97.432,0.065,15,0.005,0.8959
2014-09-18,97.432,97.432,97.342,97.372,0.0645,15,0.005,0.899
2014-09-19,97.372,97.392,97.342,97.362,0.0645,15,0.005,0.8925
2014-09-22,97.362,97.422,97.352,97.422,0.065,15,0.005,0.8873
2014-09-23,97.422,97.502,97.422,97.502,0.065,15,0.005,0.884
2014-09-24,97.502,97.522,97.452,97.452,0.0655,15,0.005,0.8885
2014-09-25,97.452,97.482,97.442,97.482,0.065,15,0.005,0.8787
2014-09-26,97.482,97.542,97.462,97.532,0.0665,15,0.005,0.8765
2014-09-29,97.532,97.542,97.472,97.542,0.068,15,0.005,0.8718
2014-09-30,97.532,97.572,97.522,97.572,0.0675,15,0.005,0.8747
2014-10-01,97.562,97.612,97.542,97.582,0.0675,15,0.005,0.8738
2014-10-02,97.572,97.672,97.562,97.632,0.07,15,0.005,0.8803
2014-10-03,97.622,97.652,97.572,97.592,0.0705,15,0.005,0.8675
2014-10-06,97.592,97.622,97.542,97.612,0.0705,15,0.005,0.8763
2014-10-07,97.612,97.632,97.582,97.622,0.06825,15,0.005,0.8817
2014-10-08,97.622,97.672,97.602,97.642,0.07,15,0.005,0.8841
2014-10-09,97.642,97.712,97.632,97.682,0.0685,15,0.005,0.8783
2014-10-10,97.692,97.732,97.672,97.712,0.0685,15,0.005,0.8686
2014-10-13,97.702,97.782,97.672,97.742,0.0715,15,0.005,0.8772
2014-10-14,97.732,97.762,97.702,97.742,0.072,15,0.005,0.8713
2014-10-15,97.742,97.782,97.682,97.692,0.0735,15,0.005,0.8829
2014-10-16,97.692,97.832,97.672,97.802,0.077,15,0.005,0.8756
2014-10-17,97.782,97.892,97.732,97.762,0.0825,15,0.005,0.8744
2014-10-20,97.762,97.772,97.662,97.712,0.0845,15,0.005,0.8784
2014-10-21,97.712,97.802,97.702,97.802,0.0855,15,0.005,0.8779
2014-10-22,97.792,97.812,97.722,97.752,0.0865,15,0.005,0.8779
2014-10-23,97.752,97.782,97.712,97.752,0.088,15,0.005,0.8762
2014-10-24,97.742,97.772,97.692,97.742,0.088,15,0.005,0.8793
2014-10-27,97.742,97.742,97.692,97.712,0.087,15,0.005,0.8802
2014-10-28,97.712,97.772,97.702,97.772,0.088,15,0.005,0.8856
2014-10-29,97.762,97.772,97.692,97.712,0.0885,15,0.005,0.8797
2014-10-30,97.712,97.722,97.662,97.692,0.086,15,0.005,0.8835
